"id"	"dtxsid"	"preferred_name"	"casrn"	"mol_formula"	"mol_weight"	"pubchem_cid"
85	"DTXSID0020288"	"4-Chloro-2-methylaniline hydrochloride"	"3165-93-3"	"C7H9Cl2N"	178.06	18487
86	"DTXSID0020311"	"Monuron"	"150-68-5"	"C9H11ClN2O"	198.65	8800
87	"DTXSID0020315"	"Trichloronitromethane"	"76-06-2"	"CCl3NO2"	164.37	6423
88	"DTXSID0020319"	"Chlorothalonil"	"1897-45-6"	"C8Cl4N2"	265.9	15910
89	"DTXSID0020361"	"Cyclohexylamine hydrochloride"	"4998-76-9"	"C6H14ClN"	135.64	2723770
90	"DTXSID0020363"	"Cyclopentanone oxime"	"1192-28-5"	"C5H9NO"	99.133	14500
91	"DTXSID0020365"	"Cyclosporin A"	"59865-13-3"	"C62H111N11O12"	1202.635	5284373
92	"DTXSID0020367"	"l-Cysteine hydrochloride"	"52-89-1"	"C3H8ClNO2S"	157.61	60960
93	"DTXSID0020369"	"Dacarbazine"	"4342-03-4"	"C6H10N6O"	182.187	5281007
94	"DTXSID0020440"	"Dichlorprop"	"120-36-5"	"C9H8Cl2O3"	235.06	8427
95	"DTXSID0020442"	"2,4-Dichlorophenoxyacetic acid"	"94-75-7"	"C8H6Cl2O3"	221.03	1486
96	"DTXSID0020444"	"2,4-D isooctyl ester"	"25168-26-7"			61286
97	"DTXSID0020446"	"Diuron"	"330-54-1"	"C9H10Cl2N2O"	233.09	3120
98	"DTXSID0020448"	"1,2-Dichloropropane"	"78-87-5"	"C3H6Cl2"	112.98	6564
99	"DTXSID0020494"	"Dimethyl methylphosphonate"	"756-79-6"	"C3H9O3P"	124.076	12958
100	"DTXSID0020498"	"Dimethyl terephthalate"	"120-61-6"	"C10H10O4"	194.186	8441
101	"DTXSID0020523"	"2,4-Dinitrophenol"	"51-28-5"	"C6H4N2O5"	184.107	1493
102	"DTXSID0020527"	"Dinitrosopiperazine"	"140-79-4"	"C4H8N4O2"	144.134	8819
103	"DTXSID0020529"	"2,4-Dinitrotoluene"	"121-14-2"	"C7H6N2O4"	182.135	8461
104	"DTXSID0020573"	"17beta-Estradiol"	"50-28-2"	"C18H24O2"	272.388	5757
105	"DTXSID0020575"	"Estragole"	"140-67-0"	"C10H12O"	148.205	8815
106	"DTXSID0020577"	"Ethionamide"	"536-33-4"	"C8H10N2S"	166.24	2761171
107	"DTXSID0020602"	"Ethylene urea"	"120-93-4"	"C3H6N2O"	86.094	8453
108	"DTXSID0020604"	"4-Vinyl-1-cyclohexene dioxide"	"106-87-6"	"C8H12O2"	140.182	7833
109	"DTXSID0020606"	"Bis(2-ethylhexyl)hexanedioate"	"103-23-1"	"C22H42O4"	370.574	7641
110	"DTXSID0020650"	"Gallic acid"	"149-91-7"	"C7H6O5"	170.12	370
111	"DTXSID0020652"	"Gemfibrozil"	"25812-30-0"	"C15H22O3"	250.338	3463
112	"DTXSID0020654"	"Geranyl acetate"	"105-87-3"	"C12H20O2"	196.29	1549026
113	"DTXSID0020656"	"Gibberellic acid"	"77-06-5"	"C19H22O6"	346.379	6466
114	"DTXSID0020733"	"Razoxane"	"21416-67-1"	"C11H16N4O4"	268.273	30623
115	"DTXSID0020737"	"Indole"	"120-72-9"	"C8H7N"	117.151	798
116	"DTXSID0020789"	"Magnesium chloride hexahydrate"	"7791-18-6"	"Cl2H12MgO6"	203.3	643991
117	"DTXSID0020810"	"6-Mercaptopurine"	"50-44-2"	"C5H4N4S"	152.18	667490
118	"DTXSID0020814"	"Mestranol"	"72-33-3"	"C21H26O2"	310.437	6291
119	"DTXSID0020818"	"Methapyrilene hydrochloride"	"135-23-9"	"C14H20ClN3S"	297.85	8667
120	"DTXSID0020862"	"3-Methylcholanthrene"	"56-49-5"	"C21H16"	268.359	1674
121	"DTXSID0020868"	"Dichloromethane"	"75-09-2"	"CH2Cl2"	84.93	6344
122	"DTXSID0020941"	"Sodium nitrite"	"7632-00-0"	"NNaO2"	68.995	23668193
123	"DTXSID0020943"	"5-Nitro-o-anisidine"	"99-59-2"	"C7H8N2O3"	168.152	7447
124	"DTXSID0021040"	"N-Nitrosohexamethyleneimine"	"932-83-2"	"C6H12N2O"	128.175	13613
125	"DTXSID0021094"	"4,4'-Oxydianiline"	"101-80-4"	"C12H12N2O"	200.241	7579
126	"DTXSID0021096"	"N-Oxydiethylene-2-benzothiazylsulfenamide"	"102-77-2"	"C11H12N2OS2"	252.35	7619
127	"DTXSID0021121"	"Phenformin hydrochloride"	"834-28-6"	"C10H16ClN5"	241.72	13266
128	"DTXSID0021123"	"Phenobarbital sodium"	"57-30-7"	"C12H11N2NaO3"	254.221	23674889
129	"DTXSID0021125"	"Phenolphthalein"	"77-09-8"	"C20H14O4"	318.328	4764
130	"DTXSID0021127"	"Phenoxybenzamine hydrochloride"	"63-92-3"	"C18H23Cl2NO"	340.29	5284441
131	"DTXSID0021129"	"Phenyl isothiocyanate"	"103-72-0"	"C7H5NS"	135.18	7673
132	"DTXSID0021175"	"Polysorbate 80"	"9005-65-6"			5284448
133	"DTXSID0021179"	"Practolol"	"6673-35-4"	"C14H22N2O3"	266.341	4883
134	"DTXSID0021206"	"1,2-Propylene glycol"	"57-55-6"	"C3H8O2"	76.095	1030
135	"DTXSID0021254"	"Safrole"	"94-59-7"	"C10H10O2"	162.188	5144
136	"DTXSID0021256"	"Sulfasalazine"	"599-79-1"	"C18H14N4O5S"	398.39	5359476
137	"DTXSID0021258"	"Scopolamine hydrobromide trihydrate"	"6533-68-2"	"C17H28BrNO7"	438.315	20055509
138	"DTXSID0021331"	"Tetrakis(hydroxymethyl)phosphonium sulfate"	"55566-30-8"	"C8H24O12P2S"	406.28	41478
139	"DTXSID0021333"	"Tetramethylthiuram monosulfide"	"97-74-5"	"C6H12N2S3"	208.36	7347
140	"DTXSID0021335"	"Thenyldiamine"	"91-79-2"	"C14H19N3S"	261.39	7066
141	"DTXSID0021337"	"Thiabendazole"	"148-79-8"	"C10H7N3S"	201.25	5430
142	"DTXSID0021339"	"Thiotepa"	"52-24-4"	"C6H12N3PS"	189.22	5453
143	"DTXSID0021381"	"1,1,1-Trichloroethane"	"71-55-6"	"C2H3Cl3"	133.4	6278
144	"DTXSID0021383"	"Trichloroethylene"	"79-01-6"	"C2HCl3"	131.38	6575
145	"DTXSID0021385"	"Folpet"	"133-07-3"	"C9H4Cl3NO2S"	296.55	8607
146	"DTXSID0021387"	"2-(2,4,5-Trichlorophenoxy)propionic acid"	"93-72-1"	"C9H7Cl3O3"	269.5	7158
147	"DTXSID0021389"	"Trichlorfon"	"52-68-6"	"C4H8Cl3O4P"	257.43	5853
148	"DTXSID0021410"	"Triprolidine hydrochloride monohydrate"	"6138-79-0"	"C19H25ClN2O"	332.87	5284472
149	"DTXSID0021414"	"Tris(2-ethylhexyl) phosphate"	"78-42-2"	"C24H51O4P"	434.642	6537
150	"DTXSID0021418"	"DL-Tryptophan"	"54-12-6"	"C11H12N2O2"	204.229	1148
151	"DTXSID0021460"	"Zearalenone"	"17924-92-4"	"C18H22O5"	318.369	5281576
152	"DTXSID0021462"	"Zinc dibutyldithiocarbamate"	"136-23-2"	"C18H36N2S4Zn"	474.12	5284483
153	"DTXSID0021464"	"Ziram"	"137-30-4"	"C6H12N2S4Zn"	305.8	8722
154	"DTXSID0021543"	"1-Chlorooctane"	"111-85-3"	"C8H17Cl"	148.67	8142
155	"DTXSID0021545"	"2-Chloropropanoic acid"	"598-78-7"	"C3H5ClO2"	108.52	11734
156	"DTXSID0021547"	"1-Chloropropan-2-one"	"78-95-5"	"C3H5ClO"	92.52	6571
157	"DTXSID0021597"	"Heptanal"	"111-71-7"	"C7H14O"	114.188	8130
158	"DTXSID0021599"	"Heptanenitrile"	"629-08-3"	"C7H13N"	111.188	12372
159	"DTXSID0021620"	"Isovaleronitrile"	"625-28-5"	"C5H9N"	83.134	12244
160	"DTXSID0021626"	"4-Isopropylbenzyl alcohol"	"536-60-7"	"C10H14O"	150.221	325
161	"DTXSID0021628"	"Methyl glyoxal"	"78-98-8"	"C3H4O2"	72.063	880
162	"DTXSID0021672"	"Trichloroacetonitrile"	"545-06-2"	"C2Cl3N"	144.38	11011
163	"DTXSID0021709"	"Benzamide"	"55-21-0"	"C7H7NO"	121.139	2331
164	"DTXSID0021751"	"2,2,2-Trifluoroethanol"	"75-89-8"	"C2H3F3O"	100.04	6409
165	"DTXSID0021757"	"1-Ethynylcyclohexanol"	"78-27-3"	"C8H12O"	124.183	6525
166	"DTXSID0021759"	"2-Methyl-1-propanol"	"78-83-1"	"C4H10O"	74.123	6560
167	"DTXSID0021830"	"3-Aminoacetophenone"	"99-03-6"	"C8H9NO"	135.166	
168	"DTXSID0021832"	"N,N,4-Trimethylaniline"	"99-97-8"	"C9H13N"	135.21	7471
169	"DTXSID0021834"	"4-Nitrophenol"	"100-02-7"	"C6H5NO3"	139.11	980
170	"DTXSID0021836"	"1,4-Dinitrobenzene"	"100-25-4"	"C6H4N2O4"	168.108	7492
171	"DTXSID0021886"	"tert-Octylamine"	"107-45-9"	"C8H19N"	129.247	61017
172	"DTXSID0021888"	"2-Pentanone"	"107-87-9"	"C5H10O"	86.134	7895
173	"DTXSID0021915"	"Diethyl decanedioate"	"110-40-7"	"C14H26O4"	258.358	8049
174	"DTXSID0021917"	"n-Hexane"	"110-54-3"	"C6H14"	86.178	8058
175	"DTXSID0021961"	"Benzophenone"	"119-61-9"	"C13H10O"	182.222	3102
176	"DTXSID0021963"	"4-(Diethylamino)benzaldehyde"	"120-21-8"	"C11H15NO"	177.247	67114
177	"DTXSID0021965"	"1,2,4-Trichlorobenzene"	"120-82-1"	"C6H3Cl3"	181.44	13
178	"DTXSID0021969"	"4-Hydroxy-3-methoxybenzaldehyde"	"121-33-5"	"C8H8O3"	152.149	1183
179	"DTXSID0022010"	"cis-Oleyl alcohol"	"143-28-2"	"C18H36O"	268.485	5284499
180	"DTXSID0022012"	"3-Methoxyphenol"	"150-19-6"	"C7H8O2"	124.139	9007
181	"DTXSID0022014"	"Hydroquinone dimethyl ether"	"150-78-7"	"C8H10O2"	138.166	9016
182	"DTXSID0022016"	"1,4-Diazabicyclo[2.2.2]octane"	"280-57-9"	"C6H12N2"	112.176	9237
183	"DTXSID0022018"	"Disulfoton"	"298-04-4"	"C8H19O2PS3"	274.39	3118
184	"DTXSID0022060"	"2-Nitrobenzaldehyde"	"552-89-6"	"C7H5NO3"	151.121	11101
185	"DTXSID0022062"	"3-Methyl-2-butanone"	"563-80-4"	"C5H10O"	86.134	11251
186	"DTXSID0022068"	"2-Hexanone"	"591-78-6"	"C6H12O"	100.161	
187	"DTXSID0022191"	"Tetrahydrofurfuryl methacrylate"	"2455-24-5"	"C9H14O3"	170.208	17151
188	"DTXSID0022193"	"Benzyl methacrylate"	"2495-37-6"	"C11H12O2"	176.215	17236
189	"DTXSID0022220"	"2,3,4,5-Tetrachlorophenol"	"4901-51-3"	"C6H2Cl4O"	231.88	21013
190	"DTXSID0022224"	"5-Chloro-1,3-benzothiazole-2(3H)-thione"	"5331-91-9"	"C7H4ClNS2"	201.69	
191	"DTXSID0022301"	"Flucythrinate"	"70124-77-5"	"C26H23F2NO4"	451.47	12797557
192	"DTXSID0022305"	"4-tert-Butylstyrene"	"1746-23-2"	"C12H16"	160.26	15627
193	"DTXSID0022307"	"Chloromethyl styrene"	"30030-25-2"			170249
194	"DTXSID0022353"	"2-Chloro-4-phenylphenol"	"92-04-6"	"C12H9ClO"	204.65	79688
195	"DTXSID0022432"	"Chrysene"	"218-01-9"	"C18H12"	228.294	9171
196	"DTXSID0022436"	"4,4-Bis(4-hydroxyphenyl)valeric acid"	"126-00-1"	"C17H18O4"	286.327	67174
197	"DTXSID0022480"	"3-Ethylphenol"	"620-17-7"	"C8H10O"	122.167	12101
198	"DTXSID0022519"	"Folic acid"	"59-30-3"	"C19H19N7O6"	441.404	6037
199	"DTXSID0022563"	"Albendazole"	"54965-21-8"	"C12H15N3O2S"	265.33	2082
200	"DTXSID0022565"	"Albutoin"	"830-89-7"	"C10H16N2OS"	212.31	3032361
201	"DTXSID0022569"	"Alfacalcidol"	"41294-56-8"	"C27H44O2"	400.647	5284515
202	"DTXSID0022640"	"Aztreonam"	"78110-38-0"	"C13H17N5O8S2"	435.43	54117
203	"DTXSID0022644"	"Benactyzine"	"302-40-9"	"C20H25NO3"	327.424	9330
204	"DTXSID0022646"	"Bencyclane"	"2179-37-5"	"C19H31NO"	289.463	2312
205	"DTXSID0022690"	"Bromperidol"	"10457-90-6"	"C21H23BrFNO2"	420.322	2448
206	"DTXSID0022692"	"Brotizolam"	"57801-81-7"	"C15H10BrClN4S"	393.69	2451
207	"DTXSID0022721"	"Calcifediol"	"19356-17-3"	"C27H44O2"	400.647	5283731
208	"DTXSID0022725"	"Candesartan"	"139481-59-7"	"C24H20N6O3"	440.463	2541
209	"DTXSID0022727"	"Canthaxanthin"	"514-78-3"	"C40H52O2"	564.854	5281227
210	"DTXSID0022777"	"Celecoxib"	"169590-42-5"	"C17H14F3N3O2S"	381.37	2662
211	"DTXSID0022800"	"Chlorothiazide"	"58-94-6"	"C7H6ClN3O4S2"	295.71	2720
212	"DTXSID0022808"	"Chlorpromazine"	"50-53-3"	"C17H19ClN2S"	318.86	2726
213	"DTXSID0022850"	"Clortermine"	"10389-73-8"	"C10H14ClN"	183.68	25223
214	"DTXSID0022854"	"Cloxazolam"	"24166-13-0"	"C17H14Cl2N2O2"	349.21	2816
215	"DTXSID0022858"	"Cortisone acetate"	"50-04-4"	"C23H30O6"	402.487	5745
216	"DTXSID0022933"	"Digitoxin"	"71-63-6"	"C41H64O13"	764.95	441207
217	"DTXSID0022935"	"Dihydralazine"	"484-23-1"	"C8H10N6"	190.21	10230
218	"DTXSID0022981"	"Emorfazone"	"38957-41-4"	"C11H17N3O3"	239.275	3221
219	"DTXSID0023030"	"Etizolam"	"40054-69-1"	"C17H15ClN4S"	342.85	3307
220	"DTXSID0023032"	"Etofylline clofibrate"	"54504-70-0"	"C19H21ClN4O5"	420.85	41109
221	"DTXSID0023036"	"Etretinate"	"54350-48-0"	"C23H30O3"	354.49	5282375
222	"DTXSID0023038"	"Famciclovir"	"104227-87-4"	"C14H19N5O4"	321.337	3324
223	"DTXSID0023084"	"Fursultiamine"	"804-30-8"	"C17H26N4O3S2"	398.54	3002119
224	"DTXSID0023088"	"D-​Galactose"	"59-23-4"	"C6H12O6"	180.156	6036
225	"DTXSID0023113"	"2-Methoxyphenol"	"90-05-1"	"C7H8O2"	124.139	460
226	"DTXSID0023163"	"Iopromide"	"73334-07-3"	"C18H24I3N3O8"	791.116	3736
227	"DTXSID0023169"	"Irbesartan"	"138402-11-6"	"C25H28N6O"	428.54	3749
228	"DTXSID0023240"	"Mecamylamine"	"60-40-2"	"C11H21N"	167.296	4032
229	"DTXSID0023244"	"(2R,3R,4R,5S)-6-(Methylamino)hexane-1,2,3,4,5-pentol"	"6284-40-8"	"C7H17NO5"	195.215	8567
230	"DTXSID0023292"	"Methoxyphenamine"	"93-30-1"	"C11H17NO"	179.263	4117
231	"DTXSID0023294"	"Methyldigoxin"	"30685-43-9"	"C42H66O14"	794.976	443946
232	"DTXSID0023296"	"Methylene blue"	"61-73-4"	"C16H18ClN3S"	319.85	6099
233	"DTXSID0023298"	"Methylperone"	"3575-80-2"	"C16H22FNO"	263.356	15387
234	"DTXSID0023323"	"Miglitol"	"72432-03-2"	"C8H17NO5"	207.226	441314
235	"DTXSID0023325"	"Mirtazapine"	"61337-67-5"	"C17H19N3"	265.36	4205
236	"DTXSID0023329"	"Modafinil"	"68693-11-8"	"C15H15NO2S"	273.35	4236
237	"DTXSID0023371"	"Nisoldipine"	"63675-72-9"	"C20H24N2O6"	388.42	4499
238	"DTXSID0023373"	"Nitrendipine"	"39562-70-4"	"C18H20N2O6"	360.366	4507
239	"DTXSID0023377"	"Nomifensine"	"24526-64-5"	"C16H18N2"	238.334	4528
240	"DTXSID0023458"	"Phenoxybenzamine"	"59-96-1"	"C18H22ClNO"	303.83	4768
241	"DTXSID0023533"	"Protirelin"	"24305-27-9"	"C16H22N6O4"	362.39	638678
242	"DTXSID0023581"	"Simvastatin"	"79902-63-9"	"C25H38O5"	418.574	54454
243	"DTXSID0023587"	"Sorbinil"	"68367-52-2"	"C11H9FN2O3"	236.202	337359
244	"DTXSID0023589"	"Sotalol"	"3930-20-9"	"C12H20N2O3S"	272.36	5253
245	"DTXSID0023612"	"Sulfamerazine"	"127-79-7"	"C11H12N4O2S"	264.3	5325
246	"DTXSID0023616"	"Sulfamethomidine"	"3772-76-7"	"C12H14N4O3S"	294.33	19596
247	"DTXSID0023618"	"Sulfinpyrazone"	"57-96-5"	"C23H20N2O3S"	404.48	5342
248	"DTXSID0023660"	"Thiphenamil"	"82-99-5"	"C20H25NOS"	327.49	11061
249	"DTXSID0023743"	"Xanthinol niacinate"	"437-74-1"	"C19H26N6O6"	434.453	9912
250	"DTXSID0023745"	"D-Xylose"	"58-86-6"	"C5H10O5"	150.13	135191
251	"DTXSID0023747"	"2',3'-Dideoxycytidine"	"7481-89-2"	"C9H13N3O3"	211.221	24066
252	"DTXSID0023749"	"Zanamivir"	"139110-80-8"	"C12H20N4O7"	332.313	60855
253	"DTXSID0023826"	"Isophorone diisocyanate"	"4098-71-9"	"C12H18N2O2"	222.288	169132
254	"DTXSID0023870"	"4-Aminopyridine"	"504-24-5"	"C5H6N2"	94.117	1727
255	"DTXSID0023878"	"Anthracene"	"120-12-7"	"C14H10"	178.234	8418
256	"DTXSID0023901"	"Bentazone"	"25057-89-0"	"C10H12N2O3S"	240.28	2328
257	"DTXSID0023907"	"Benzo(b)fluoranthene"	"205-99-2"	"C20H12"	252.316	9153
258	"DTXSID0023909"	"Benzo(k)fluoranthene"	"207-08-9"	"C20H12"	252.316	9158
259	"DTXSID0023951"	"Carboxin"	"5234-68-4"	"C12H13NO2S"	235.3	21307
260	"DTXSID0023955"	"Chlorimuron-ethyl"	"90982-32-4"	"C15H15ClN4O6S"	414.82	56160
261	"DTXSID0024000"	"Chlorthal-dimethyl"	"1861-32-1"	"C10H6Cl4O4"	331.95	2943
262	"DTXSID0024002"	"Fenpropathrin"	"39515-41-8"	"C22H23NO3"	349.43	47326
263	"DTXSID0024052"	"Dimethipin"	"55290-64-7"	"C6H10O4S2"	210.26	41385
264	"DTXSID0024183"	"Methyl acrylate"	"96-33-3"	"C4H6O2"	86.09	7294
265	"DTXSID0024185"	"Methyl chlorocarbonate"	"79-22-1"	"C2H3ClO2"	94.49	6586
266	"DTXSID0024216"	"Nitrapyrin"	"1929-82-4"	"C6H3Cl4N"	230.9	16004
267	"DTXSID0024266"	"Pirimiphos-methyl"	"29232-93-7"	"C11H20N3O3PS"	305.33	34526
268	"DTXSID0024341"	"Toluene diisocyanate"	"26471-62-5"	"C9H6N2O2"	174.159	11443
269	"DTXSID0024345"	"Triasulfuron"	"82097-50-5"	"C14H16ClN5O5S"	401.82	73282
270	"DTXSID0024395"	"Acetic anhydride"	"108-24-7"	"C4H6O3"	102.089	7918
271	"DTXSID0024397"	"Acetoacetanilide"	"102-01-2"	"C10H11NO2"	177.203	7592
272	"DTXSID0024399"	"Acetoin"	"513-86-0"	"C4H8O2"	88.106	179
273	"DTXSID0024470"	"4-Chlorobenzothiazol-2-ylamine"	"19952-47-7"	"C7H5ClN2S"	184.64	29872
274	"DTXSID0024474"	"6-Amino-4-chloro-1-phenol-2-sulfonic acid"	"88-23-3"	"C6H6ClNO4S"	223.63	6927
275	"DTXSID0024478"	"2-Amino-5,6-dimethylbenzothiazole"	"29927-08-0"	"C9H10N2S"	178.25	34757
276	"DTXSID0024501"	"2-(4-Aminophenyl)-6-methylbenzothiazole sulfonic acid"	"130-17-6"	"C14H12N2O3S2"	320.38	174223
277	"DTXSID0024503"	"2-Amino-4-phenylthiazole hydrobromide hydrate"	"52253-69-7"	"C9H11BrN2OS"	275.16	40301
278	"DTXSID0024505"	"2-Aminopyridine"	"504-29-0"	"C5H6N2"	94.117	10439
279	"DTXSID0024507"	"5-Amino-3-sulfosalicylic acid"	"6201-87-2"	"C7H7NO6S"	233.19	22574
280	"DTXSID0024509"	"2-Amino-4-thiazoleacetic acid"	"29676-71-9"	"C5H6N2O2S"	158.18	34665
281	"DTXSID0024553"	"Azodicarbonamide"	"123-77-3"	"C2H4N4O2"	116.08	31269
282	"DTXSID0024555"	"Azoxybenzene"	"495-48-7"	"C12H10N2O"	198.225	10316
283	"DTXSID0024559"	"C.I. Basic Orange 2"	"532-82-1"	"C12H13ClN4"	248.71	10771
284	"DTXSID0024638"	"2-Bromobiphenyl"	"2052-07-5"	"C12H9Br"	233.108	16329
285	"DTXSID0024715"	"Cadmium oxide"	"1306-19-0"	"CdO"	128.413	14782
286	"DTXSID0024761"	"3-Chloroaniline"	"108-42-9"	"C6H6ClN"	127.57	7932
287	"DTXSID0024840"	"Cobaltocene"	"1277-43-6"	"C10H10Co"	189.123	92884
288	"DTXSID0024890"	"p-Cymen-8-ol"	"1197-01-9"	"C10H14O"	150.221	14529
289	"DTXSID0024896"	"2,4-D dimethylamine salt"	"2008-39-1"	"C10H13Cl2NO3"	266.12	16180
290	"DTXSID0024921"	"4,4'-Diaminodicyclohexylmethane"	"1761-71-3"	"C13H26N2"	210.365	15660
291	"DTXSID0024923"	"DAMN"	"1187-42-4"	"C4H4N4"	108.104	2723951
292	"DTXSID0024971"	"3,4-Dichlorobenzaldehyde"	"6287-38-3"	"C7H4Cl2O"	175.01	22710
293	"DTXSID0024977"	"2,4-Dichlorobenzoic acid"	"50-84-0"	"C7H4Cl2O2"	191.01	5787
294	"DTXSID0024979"	"2,6-Dichlorobenzoic acid"	"50-30-6"	"C7H4Cl2O2"	191.01	5758
295	"DTXSID0025070"	"1,2-Dihydro-2,2,4-trimethylquinoline"	"147-47-7"	"C12H15N"	173.259	8981
296	"DTXSID0025074"	"2,4-Dihydroxybenzoic acid"	"89-86-1"	"C7H6O4"	154.121	1491
297	"DTXSID0025076"	"1,8-Dihydroxy-4,5-dinitroanthraquinone"	"81-55-0"	"C14H6N2O8"	330.208	3378440
298	"DTXSID0025078"	"5,7-Dihydroxy-4-methylcoumarin"	"2107-76-8"	"C10H8O4"	192.17	5354284
299	"DTXSID0025101"	"3-Dimethylaminophenol"	"99-07-0"	"C8H11NO"	137.182	7421
300	"DTXSID0025234"	"Eosin"	"17372-87-1"	"C20H6Br4Na2O5"	691.859	11048
301	"DTXSID0025286"	"Ethylene glycol dimethyl ether"	"110-71-4"	"C4H10O2"	90.122	8071
302	"DTXSID0025315"	"N-Ethyl-N-phenyl benzylamine"	"92-59-1"	"C15H17N"	211.308	7098
303	"DTXSID0025361"	"Glycidyl methacrylate"	"106-91-2"	"C7H10O3"	142.154	7837
304	"DTXSID0025363"	"Glycolic acid"	"79-14-1"	"C2H4O3"	76.051	757
305	"DTXSID0025367"	"Guanazole"	"1455-77-2"	"C2H5N5"	99.097	15078
306	"DTXSID0025440"	"Norspermidine"	"56-18-8"	"C6H17N3"	131.223	5942
307	"DTXSID0025492"	"1-Chlorododecane"	"112-52-7"	"C12H25Cl"	204.78	8192
308	"DTXSID0025494"	"Dodecyl glycidyl ether"	"2461-18-9"	"C15H30O2"	242.403	17163
309	"DTXSID0025523"	"Maltol"	"118-71-8"	"C6H6O3"	126.111	8369
310	"DTXSID0025527"	"Medroxyprogesterone acetate"	"71-58-9"	"C24H34O4"	386.532	6279
311	"DTXSID0025571"	"2-Methyl-1,3-benzenediol"	"608-25-3"	"C7H8O2"	124.139	11843
312	"DTXSID0025577"	"2-Methyl-2-butenenitrile"	"4403-61-6"	"C5H7N"	81.118	6028739
313	"DTXSID0025600"	"Methylene Blue trihydrate"	"7220-79-3"	"C16H24ClN3O3S"	373.9	104827
314	"DTXSID0025604"	"Ethyl t-butyl ether"	"637-92-3"	"C6H14O"	102.177	12512
315	"DTXSID0025654"	"1-Methylpyrene"	"2381-21-7"	"C17H12"	216.283	16932
316	"DTXSID0025733"	"2-Nitrobenzamide"	"610-15-1"	"C7H6N2O3"	166.136	11876
317	"DTXSID0025737"	"3-Nitrobenzoic acid"	"121-92-6"	"C7H5NO4"	167.12	8497
318	"DTXSID0025789"	"beta-Nitrostyrene"	"102-96-5"	"C8H7NO2"	149.149	7626
319	"DTXSID0025812"	"Olivetol"	"500-66-3"	"C11H16O2"	180.247	10377
320	"DTXSID0025814"	"Orotic acid"	"65-86-1"	"C5H4N2O4"	156.097	967
321	"DTXSID0025816"	"Oxalic acid"	"144-62-7"	"C2H2O4"	90.034	971
322	"DTXSID0025818"	"Oxethazaine"	"126-27-2"	"C28H41N3O3"	467.654	4621
323	"DTXSID0025862"	"3-Ethoxyaniline"	"621-33-0"	"C8H11NO"	137.182	12120
324	"DTXSID0025864"	"4-Ethoxyaniline"	"156-43-4"	"C8H11NO"	137.182	9076
325	"DTXSID0025866"	"Pheniramine maleate"	"132-20-7"	"C20H24N2O4"	356.422	25150753
326	"DTXSID0025991"	"4-Nitrosophenol"	"104-91-6"	"C6H5NO2"	123.111	7729
327	"DTXSID0025997"	"13-cis-Retinal"	"472-86-6"	"C20H28O"	284.443	6436079
328	"DTXSID0026040"	"C.I. Solvent Black 5"	"11099-03-9"	"C8H19ClN2O"	194.7	
