id,annotation,comment,new_id
310,"NMR spectra are duplicates of each other. The NMR spectrum is labeled with an indication that the ester has hydrolyzed and the sample is not pure. However, the chemical may be stable in two tautomeric forms: DTXSID5044520 and DTXSID1069532",,310
312,Fc - CAUTION Very Low Conc. <5% of expected value. Biological Activity Unreliable,The Tox21 Browser call on this compound mixes GCMS at T0 and NMR at T4 as an indication of degradation of the sample over time. It would be better to use the same technique for T0-T4 comparison. It is likely that there is low concentration in the sample at both T0 and T4 due to volatilization of the chemical.,312
313,NMR spectra are duplicates,,313
315,F - CAUTION Incorrect MW. Biological Activity Unreliable,The Tox21 Browser call on this compound mixes GCMS at T0 and NMR at T4 as an indication of degradation of the sample over time. It would be better to use the same technique for T0-T4 comparison. The NMR spectrum is indicative of hydrolysis of the sample over time. Hydrolysis of alkyl orthosilicates is a known degradation pathway,315
316,All NMR peaks are under the solvent signals and the spectrum is inconclusive,,316
317,U - Unknown/Inconclusive,All NMR peaks are under the solvent signals and the spectrum is inconclusive so no call can be made regarding stability from T0 to T4. The GCMS spectrum at T0 indicates high purity. Final summary call is unknown/inconclusive regarding identification and stability using the available data.,317
319,F - CAUTION Incorrect MW. Biological Activity Unreliable,At T0 the NMR is indicative of hydrolysis of the sample over time. Hydrolysis of alkyl orthosilicates is a known degradation pathway. It is likely that this sample would degrade significantly over time to full hydrolysis but no T4 data are available Summary Call is Fail,319
320,"The A-grade in GCMS makes sense as hydrolysis will not occur. But measured in wet DMSO, and in bioactivity screens, the chemical will degrade significantly\n",,320
322,"The A-grade in GCMS makes sense as hydrolysis will not occur. But measured in wet DMSO, and in bioactivity screens, the chemical will degrade significantly",,322
323,U - Unknown/Inconclusive,Cannot identify this chemical using NMR,323
324,CAUTION- Inappropriate analysis method and/or data interpretation issues\t,,324
326,F - CAUTION Incorrect MW. Biological Activity Unreliable,At T4 the NMR is indicative of hydrolysis of the sample over time as NO starting material is detected. Hydrolysis of alkyl orthosilicates is a known degradation pathway.,326
327,Full hydrolysis of sample,,327
328,"A - MW Confirmed, Purity>90%, Stable over time",The chemical is not detected by LC/MS and there is evidence in the NMR spectral series that concentration may degrade slightly over time.,328
329,Not Detected by LC/MS,,329
332,"A - MW Confirmed, Purity>90%, Stable over time",No NMR data were measured but LCMS suggests Purity>90 and stable over time,332
333,The NMR spectrum shows no aromatic protons and only shows free ammonium ion,,333
335,"Ad - MW Confirmed, Purity>90%, Sample concentration decreases over time\nFns- CAUTION No Sample Detected. Biological Activity Unreliable",The sample clearly degrades over time as indicated by the HNMR spectrum losing all aromatic protons to be replaced only by free ammonium ion.,335
336,"A - MW Confirmed, Purity>90%, Stable over time",LCMS data suggests Purity>90% and stable over time,336
337,"A - MW Confirmed, Purity>90%, Stable over time",LCMS data at both T0 and T4 suggests Purity>90% and stable over time,337
338,"Ad - MW Confirmed, Purity>90%, Sample concentration decreases over time","From T0 to T4 the LCMS data suggests that the chemical degrades over time, from grade A to B grade, so summary call is Ad",338
339,"A - MW Confirmed, Purity>90%, Stable over time",LCMS data at both T0 and T4 suggests Purity>90% and stable over time\n,339
341,I - ISOMERS Two or more isomers detected,The NMR spectrum shows multiple isomers (or potentially degradation products) are present in the spectrum at T4. There is no T0 data available so it is difficult to comment on whether this is T0 to T4 degradation or whether it was always impure,341
344,Concentration,,344
345,Concentration is measured,,345
346,Concentration is estimated to be 1.2 mM so less than 50% of original concentration.,,346
348,"Ad - MW Confirmed, Purity>90%, Sample concentration decreases over time",There is no evidence of chemical degradation (breakdown) over time but potential volatilization as the concentration drops of <50% of original concentration.,348
351,I - ISOMERS Two or more isomers detected,LCMS suggests presence of two isomers,351
352,"A - MW Confirmed, Purity>90%, Stable over time",LCMS data at both T0 and T4 suggests Purity>90% and stable over time\n\n,352
354,NMR spectrum indicates significant degradation\n,,354
356,"Ad - MW Confirmed, Purity>90%, Sample concentration decreases over time\nD - CAUTION Purity <50%",NMR spectrum indicates significant degradation between T0 and T4. The chemical is pure at T0 and mostly degraded at T4,356
357,"A - MW Confirmed, Purity>90%, Stable over time",NMR data at both T0 and T4 suggests Purity>90% and stable over time,357
